title,imdb_rating,length,rank_in_year,rating,studio,worldwide_gross,year
Star Trek: The Motion Picture,6.4,132,5,PG,Paramount Pictures,"$82,258,456.00",1979
Alien,8.5,117,6,R,20th Century Fox,"$80,931,801.00",1979
10,6,122,7,R,Warner Bros,"$74,865,517.00",1979
The Jerk,7.2,94,8,R,Universal Pictures,"$73,691,419.00",1979
Moonraker,6.2,126,9,PG,Metro-Goldwyn-Mayer,"$70,308,099.00",1979
The Muppet Movie,7.7,95,10,G,Metro-Goldwyn-Mayer,"$65,200,000.00",1979
Grease,7.2,110,1,PG-13,Paramount Pictures,"$159,978,870.00",1978
Superman,7.3,143,2,PG,Warner Bros,"$134,218,018.00",1978
National Lampoon's Animal House,7.6,109,3,R,Universal Pictures,"$120,091,123.00",1978
Every Which Way but Loose,6.2,114,4,PG,Warner Bros,"$85,196,485.00",1978
Heaven Can Wait,6.9,101,5,PG,Paramount Pictures,"$81,640,278.00",1978
Hooper,6.2,99,6,PG,Warner Bros,"$78,000,000.00",1978
Jaws 2,5.7,116,7,PG,Universal Pictures,"$77,737,272.00",1978
Dawn of the Dead,8,127,8,R,Metro-Goldwyn-Mayer,"$59,020,957.00",1978
Revenge of the Pink Panther,6.7,99,9,PG,Metro-Goldwyn-Mayer,"$49,579,269.00",1978
The Deer Hunter,8.2,182,10,R,Universal Pictures,"$48,979,328.00",1978
Star Wars,8.7,121,1,PG,Lionsgate Films,"$307,263,857.00",1977
Smokey and the Bandit,6.8,96,2,PG,Universal Pictures,"$126,737,428.00",1977
Close Encounters of the Third Kind,7.7,137,3,PG,Columbia Pictures,"$116,395,460.00",1977
The Goodbye Girl,7.4,111,4,PG,Metro-Goldwyn-Mayer,"$102,000,000.00",1977
Saturday Night Fever,6.8,118,5,R,Paramount Pictures,"$94,213,184.00",1977
"Oh, God!",6.5,98,6,PG,Warner Bros,"$51,061,196.00",1977
A Bridge Too Far,7.4,175,7,PG,Metro-Goldwyn-Mayer,"$50,750,000.00",1977
The Deep,6.1,123,8,PG,Columbia Pictures,"$47,346,365.00",1977
The Spy Who Loved Me,7.1,125,9,PG,Metro-Goldwyn-Mayer,"$46,838,673.00",1977
Annie Hall,8.1,93,10,PG,Metro-Goldwyn-Mayer,"$38,251,425.00",1977
Rocky,8.1,119,1,PG,Metro-Goldwyn-Mayer,"$117,235,147.00",1976
To Fly!,7,27,2,G,National Air and Space Museum,"$86,600,000.00",1976
A Star Is Born,6.5,139,3,R,Warner Bros,"$80,000,000.00",1976
All the President's Men,8,138,4,R,Warner Bros,"$70,600,000.00",1976
The Omen,7.6,111,5,R,20th Century Fox,"$60,922,980.00",1976
In Search of Noah's Ark,4.6,99,6,G,Sunn Classic Pictures,"$55,700,000.00",1976
King Kong,5.8,134,7,PG,Paramount Pictures,"$52,614,445.00",1976
Silver Streak,6.9,114,8,PG,20th Century Fox,"$51,079,064.00",1976
The Enforcer,6.8,96,9,R,Warner Bros,"$46,236,000.00",1976
Midway,6.7,132,10,PG,Universal Pictures,"$43,220,000.00",1976
Dog Day Afternoon,8.1,125,4,R,Warner Bros,"$50,000,000.00",1975
Shampoo,6.3,109,5,R,Columbia Pictures,"$49,407,734.00",1975
The Return of the Pink Panther,7.1,113,6,G,Metro-Goldwyn-Mayer,"$41,833,347.00",1975
Funny Lady,6.4,136,7,PG,Columbia Pictures,"$39,000,000.00",1975
The Apple Dumpling Gang,6.2,100,8,G,Walt Disney Pictures,"$36,853,000.00",1975
"Aloha, Bobby and Rose",6,88,9,PG,Columbia Pictures,"$35,000,000.00",1975
The Other Side of the Mountain,6.4,103,10,PG,Universal Pictures,"$34,673,100.00",1975
